"FilingID","Reference ID","Other Business Name","AL","AK","AZ","AR","CA","CO","CT","DE","DC","FL","GA","GU","HI","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","PA","PR","RI","SC","SD","TN","TX","UT","VT","VI","VA","WA","WV","WI","WY","Other"
1935408,2894,"TUDOR CAPITAL EUROPE LLP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","UNITED KINGDOM"
1935408,2896,"TUDOR CAPITAL AUSTRALIA PTY LTD.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AUSTRALIA"
1935408,5812,"TUDOR CAPITAL SINGAPORE PTE. LTD.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SINGAPORE"
1935408,11982,"TUDOR CAPITAL (DIFC) LIMITED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIFC, DUBAI, UNITED ARAB EMIRATES"
1943055,10690,"NEWBURY PARTNERS","","","","","Y","","Y","Y","Y","Y","Y","","","","","","","","","","","","","","","","","","","","","Y","","Y","Y","","","","","","","","","","","Y","Y","","","","","","","",""
1944707,2720,"PROMUS EQUITY","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1944707,2992,"PROMUS ACCESS","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1944707,3395,"PROMUS REALTY","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1944847,3837,"AIFAM LLC","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1945505,1881,"RCP ADVISORS 3, LLC","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1945505,8952,"BONACCORD CAPITAL PARTNERS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","",""
1947033,3126,"APOLLO ISG L.P.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","",""
1947117,4209,"HPS INVESTMENT PARTNERS (DIFC REPRESENTATIVE OFFICE)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","UAE"
1947117,7892,"HPS INVESTMENT PARTNERS LUX SÀRL (GERMAN BRANCH)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GERMANY"
1950137,2205,"LONE STAR GLOBAL ACQUISITIONS, LTD. AKA LONE STAR FUNDS","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y",""
1950137,2206,"LONE STAR AMERICAS ACQUISITIONS, LLC AKA LONE STAR FUNDS","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","",""
1951258,11138,"NUVEEN GREEN CAPITAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","Y","","","","","","","","","","","","","","","","","","","","",""
1951335,1532,"HUDSON ADVISORS L.P. DBA HUDSON ADVISORS NEW YORK L.P.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","",""
1951361,6638,"TRGP CAPITAL","","","","","","","Y","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1952094,8465,"SEARCHLIGHT CAPITAL PARTNERS CANADA LIMITED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CANADA"
1952203,9990,"GERBER TAYLOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","Y","","","","","","","","",""
1953075,5361,"POLARIS PARTNERS","","","","","Y","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","",""
1953827,3176,"LUBERT-ADLER MANAGEMENT, L.P.","","","","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1953827,3179,"L-A ASSET MANAGEMENT SERVICES, L.P.","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1953827,3180,"L-A FINANCIAL MANAGEMENT, L.P.","","","","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1953827,3184,"LUBERT-ALDER REAL ESTATE MANAGEMENT COMPANY, L.P.","","","","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1953827,3191,"L-A URBAN FINANCIAL MANAGEMENT, L.P.","","","","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1954060,2605,"LOCAM GESTIONI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ITALY"
1954060,2605,"THE LOCAM GROUP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ITALY"
1954060,2605,"LOCAM CREDIT SOLUTIONS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ITALY"
1958016,11678,"BLUEYARD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GERMANY"
1958016,11702,"BLUEYARD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GERMANY"
1958016,11702,"BLUEYARD CAPITAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GERMANY"
1958338,11126,"GRUPO DELTA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MEXICO"
1958338,11127,"GRUPO DELTA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MEXICO"
1958338,11128,"GRUPO DELTA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MEXICO"
1958338,11129,"GRUPO DELTA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MEXICO"
1960545,7687,"BRIDGEINVEST FUND MANAGER II LLC","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1960545,8312,"BRIDGEINVEST FUND MANAGER III LLC","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1960545,10555,"BRIDGEINVEST SPECIALTY CREDIT FUND IV MANAGER LLC","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1960545,10559,"BRIDGEINVEST CREDIT OPPORTUNITIES FUND MANAGER LLC","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1961856,9110,"AURORA CAPITAL PARTNERS","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1961861,11082,"OMP","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1963212,9123,"FIRST TRUST ALTERNATIVE INVESTMENT RESEARCH","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1966323,10026,"ISLAND CSE DIRECTIVES LLC","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","",""
1969384,2082,"THE COURY FIRM","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1969441,8853,"EGP CAPP CARRY LLC","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y",""
1969441,8855,"EGP STF GP, LLC","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y",""
1969441,8856,"EGP MODO CARRY LLC","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y",""
1969441,8859,"EGP FUND GENERAL PARTNERS, LLC","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y",""
1970555,6512,"EXODUSPOINT CAPITAL MANAGEMENT INTERNATIONAL HOLDINGS, INC., JAPAN BRANCH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JAPAN"
